ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
150,الجلب,الماشية التجارية المباعة,الماشية التي تباع وتشترى.
151,الجحلة,وعاء فخار للتخزين,ينطق الجيم بالياء كما هي لهجة أهل حضرموت الداخل والساحل في نطق حرف الجيم يا ،وهو يصنع من الطين )الفخار( له استخدامات كثيرة كتخزين الماء أو التمر أو الطحين أو الحبوب ،وعادة ما يكون في الحمام ويكون )نموذج من الجحلة(
152,الجبة,معطف غليظ من الصوف,مفرية غليظة مصنوعة من الفرو أو الصوف
153,الجابية,حوض كبير للوضوء في المساجد,وهي البِركَة ،وتنطق يابيه عبارة عن حوض مربع مملوء بالماء ،عميق نوعا ما على قامة الشخص ،يوجد في المساجد لأغراض الوضوء والاغتسال فيه .
154,الجرمل,فانوس الكيروسين,فانوس القاز العادي . )نموذج من الجرمل(
155,الجليجلة,نبات مخدر,نبات مخدرة ،تنمو بشكل عشوائي دون أن يزرعها أحد ،تصيب الشخص في حاله أكلها بنوع من التخدير والهلوسة.
156,جبل المربش,سلة خوص صغيرة لنقل الطين,سلّة من الخوص يحملها الحمار أو الانسان لنقل الطين ،تكون صغيرة الحجم.
157,جبل المدمن,سلة خوص كبيرة لنقل الروث,سلّة من الخوص يحملها الحمار أو الإنسان لنقل الدمان )روث البهائم( ،تكون كبيرة الحجم.
158,الجهر,تعميق الآبار وتنظيفها,للآبار التغميق والحفر ،وإزالة المخلفات والأوحال منها ،أو حتى يبلغون الماء إذا نضب وقل منها .
159,الجلجل,السمسم,السمسم.
160,جويد,طيب مؤدب يسمع الكلام,طيب ومؤدب ،تطلق لكل للذي يسمع الكلام.
161,حمه,الج حشرة لوا أسود,الجَ حشرة لوا أسود ،كبيرة الحجم نسبياً.
162,الجرب,القطعة الزراعية,القطعة الزراعية الصغيرة الصالحة للزراعة ،فيها النخل والزرع ،ومفردها جربة.
163,الجهوش,قمح أخضر يحمص على الجمر,يعمل في الجمر نصف نجاح ثم يجهش ،وهو قمح يميل إلى اخضرار اللون.
164,لجذفرة,أرض مخددة من السيول,اِ الأرض المخددة من السيول ،أو الأرض البور التي أبطت دون زراعة
165,جفير,غمد السيف أو الجنبية,غمد السيف أو السكين أو الجنبية الحضرمية ،وفي المثل):ما للنصلَه إلا ذا الجَفِير(
166,لجونية,الشوال - كيس الحبوب,اُ هي الشوال ،فنقول مثلا):جونية رز وبر( ،أي شوال رز و شوال بر وهكذا.
167,حط,ضع - حط,أي ضع وحطُّه أي ضعه .
168,لحق,وجد وحصل,بمعنى أوجد أوحصل ،والمثل القائل):إن لحُق غذَاه مالحُق عشاه(.
